area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
开发区,1231,1378,229,63
牟平,674,229,48,19
福山,1282,398,21,4
芝罘,2385,1987,344,94
莱山,547,1557,492,187
高新区,101,261,55,25
