area1,"(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]","(50000, 60000]","(60000, 70000]","(70000, 80000]","(80000, 90000]"
同安,41.0,95.0,90.0,3.0,0.0,0.0,0.0,0.0
思明,10.0,19.0,188.0,1089.0,1201.0,699.0,376.0,171.0
海沧,14.0,530.0,820.0,343.0,61.0,21.0,6.0,3.0
湖里,98.0,210.0,722.0,823.0,521.0,343.0,139.0,117.0
翔安,57.0,443.0,135.0,10.0,5.0,0.0,1.0,0.0
集美,61.0,751.0,1019.0,185.0,37.0,12.0,4.0,1.0
