,室厅厨卫 布局,数量
0,3室2厅1厨2卫,2826
1,2室2厅1厨1卫,1375
2,2室1厅1厨1卫,1285
3,4室2厅1厨2卫,1113
4,3室2厅1厨1卫,987
5,1室1厅1厨1卫,935
6,3室1厅1厨1卫,339
7,4室2厅1厨3卫,320
8,1室0厅1厨1卫,266
9,3室1厅1厨2卫,265
