,室厅厨卫 布局,数量
0,3室2厅1厨1卫,3212
1,3室2厅1厨2卫,2335
2,2室2厅1厨1卫,2230
3,2室1厅1厨1卫,1345
4,3室1厅1厨1卫,793
5,4室2厅1厨2卫,778
6,1室1厅1厨1卫,410
7,4室2厅1厨1卫,140
8,5室2厅1厨2卫,100
9,2室2厅1厨2卫,68
