area1,"(0, 10000]","(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]"
吴中,83,1804,3621,506,63
吴江,32,752,274,19,2
姑苏,34,1794,2535,570,89
工业园区,11,465,1241,1605,1159
昆山,81,2651,874,94,12
相城,34,1089,1306,53,3
高新,4,823,1258,361,126
