area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]"
吴中,629,1168,2298,1049,355,169,122,86
吴江,103,491,288,98,39,22,9,8
姑苏,637,1749,1348,747,262,142,64,36
工业园区,209,472,1158,956,708,528,404,253
昆山,384,2003,836,276,91,52,19,12
相城,333,429,1220,334,84,36,14,12
高新,105,750,855,399,201,120,65,43
