,室厅厨卫 布局,数量
0,3室2厅1厨2卫,915
1,2室2厅1厨1卫,842
2,3室2厅1厨1卫,751
3,2室1厅1厨1卫,386
4,1室1厅1厨1卫,352
5,4室2厅1厨2卫,225
6,3室1厅1厨1卫,185
7,1室0厅1厨1卫,69
8,5室2厅1厨2卫,42
9,4室2厅1厨1卫,31
