,室厅厨卫 布局,数量
0,3室2厅1厨2卫,599
1,4室2厅1厨2卫,340
2,2室2厅1厨1卫,313
3,3室2厅1厨1卫,289
4,1室1厅1厨1卫,108
5,2室1厅1厨1卫,73
6,5室2厅1厨2卫,23
7,4室2厅1厨1卫,17
8,2室2厅1厨2卫,15
9,3室1厅1厨1卫,14
