,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,城关区,13508.0,144.64,106.41
1,安宁区,12538.6,146.18,115.71
2,七里河区,11421.2,107.03,92.74
3,西固区,10516.7,86.94,83.4
