,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1119
1,3室2厅1厨1卫,917
2,2室2厅1厨1卫,848
3,4室2厅1厨2卫,417
4,2室1厅1厨1卫,320
5,1室1厅1厨1卫,207
6,3室1厅1厨1卫,164
7,1室1厅0厨1卫,45
8,4室2厅1厨1卫,40
9,5室2厅1厨2卫,32
