area1,"(0, 100]","(100, 200]","(200, 300]"
祥符区,142.0,154.0,7.0
禹王台区,108.0,13.0,0.0
顺河区,282.0,15.0,0.0
鼓楼区,545.0,153.0,15.0
龙亭区,1441.0,1354.0,201.0
