area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
包河,1593.0,2374.0,1070.0,189.0
庐阳,1355.0,3105.0,869.0,123.0
政务,68.0,481.0,783.0,387.0
新站,851.0,1949.0,109.0,19.0
滨湖新区,495.0,2585.0,1615.0,250.0
瑶海,2933.0,4790.0,520.0,64.0
经开,603.0,2580.0,822.0,101.0
肥东,146.0,152.0,4.0,0.0
肥西,274.0,2253.0,164.0,21.0
蜀山,1495.0,3456.0,1416.0,249.0
长丰,982.0,1970.0,24.0,1.0
高新,579.0,1180.0,447.0,154.0
