area1,"(0, 10000]","(10000, 20000]"
包河,43,4734
庐阳,98,4671
政务,25,420
新站,277,2640
滨湖新区,207,3126
瑶海,552,7551
经开,139,3536
肥东,88,214
肥西,98,2582
蜀山,137,5290
长丰,581,2412
高新,34,2069
