,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1781
1,4室2厅1厨2卫,1551
2,3室2厅1厨1卫,719
3,2室1厅1厨1卫,705
4,2室2厅1厨1卫,506
5,3室1厅1厨1卫,374
6,3室1厅1厨2卫,176
7,1室1厅1厨1卫,172
8,5室2厅1厨2卫,152
9,5室2厅1厨3卫,86
