area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]"
永嘉县,0.0,29.0,78.0,43.0,26.0,1.0
瓯海区,75.0,457.0,505.0,257.0,122.0,48.0
鹿城区,138.0,1074.0,1178.0,946.0,538.0,168.0
龙湾区,97.0,436.0,302.0,84.0,29.0,9.0
