area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]"
即墨,297.0,1094.0,129.0,22.0,9.0,6.0,3.0
城阳,292.0,2162.0,734.0,147.0,100.0,47.0,32.0
崂山,75.0,264.0,523.0,670.0,499.0,340.0,261.0
市北,787.0,3226.0,2265.0,873.0,266.0,93.0,44.0
市南,53.0,820.0,926.0,693.0,394.0,271.0,151.0
李沧,185.0,1629.0,1549.0,339.0,143.0,41.0,15.0
胶州,261.0,587.0,116.0,32.0,12.0,1.0,0.0
黄岛,990.0,4691.0,1675.0,493.0,157.0,89.0,43.0
