area1,"(0, 10000]","(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]"
即墨,79.0,1462.0,33.0,0.0,0.0
城阳,57.0,2834.0,635.0,23.0,2.0
崂山,1.0,117.0,497.0,1472.0,607.0
市北,10.0,869.0,4844.0,1674.0,194.0
市南,12.0,111.0,978.0,1508.0,550.0
李沧,0.0,493.0,3098.0,314.0,28.0
胶州,182.0,776.0,49.0,3.0,0.0
黄岛,203.0,5460.0,2304.0,239.0,26.0
