area1,"(0, 100]","(100, 200]"
吉安县,731,180
吉州区,1623,1278
吉水县,602,141
安福县,131,74
永丰县,165,121
永新县,153,1
泰和县,269,89
遂川县,290,32
青原区,1297,351
