,室厅厨卫 布局,数量
0,3室2厅1厨2卫,2712
1,2室2厅1厨1卫,1236
2,3室2厅1厨1卫,1138
3,4室2厅1厨2卫,738
4,1室1厅1厨1卫,501
5,2室1厅1厨1卫,151
6,5室3厅1厨3卫,100
7,5室2厅1厨2卫,97
8,2室2厅1厨2卫,74
9,3室1厅1厨1卫,67
