,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,吉州区,8987.3,104.43,116.63
1,青原区,7167.1,84.94,119.39
2,吉安县,7050.2,88.76,126.0
3,吉水县,6275.3,89.49,142.39
4,泰和县,7258.1,92.24,127.65
5,永丰县,8769.2,125.72,142.44
6,遂川县,6095.4,80.89,133.61
7,安福县,7227.2,98.58,139.24
8,永新县,5755.4,69.55,122.62
