,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1457
1,3室2厅1厨1卫,877
2,2室2厅1厨1卫,528
3,4室2厅1厨2卫,387
4,2室1厅1厨1卫,225
5,1室1厅1厨1卫,211
6,3室1厅1厨1卫,136
7,4室2厅1厨1卫,41
8,5室2厅1厨2卫,38
9,3室1厅1厨2卫,30
