area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
新城区,403,726,102,16
未央,964,3337,751,174
灞桥,579,1178,230,50
碑林,417,596,125,21
莲湖,939,1440,277,44
长安,359,1403,349,77
雁塔,1571,3719,1707,759
高陵,183,23,1,1
