,室厅厨卫 布局,数量
0,2室2厅1厨1卫,2654
1,3室2厅1厨1卫,1814
2,2室1厅1厨1卫,1475
3,3室2厅1厨2卫,1229
4,1室1厅1厨1卫,766
5,4室2厅1厨2卫,392
6,3室1厅1厨1卫,198
7,4室3厅1厨2卫,62
8,2室2厅1厨2卫,60
9,1室2厅1厨1卫,53
