,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,云岩区,11322.8,132.91,114.45
1,南明区,10259.6,114.6,109.76
2,观山湖区,12820.8,170.86,130.62
3,花溪区,9815.3,115.97,117.41
4,乌当区,10336.4,159.44,136.76
5,白云区,10010.6,126.24,121.97
