,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,红谷滩,18098.3,213.71,115.62
1,南昌县,11837.5,137.21,115.95
2,青山湖区,15157.6,187.84,115.21
3,新建区,12208.3,150.14,143.76
4,西湖区,18208.6,210.84,112.47
5,进贤县,6828.8,82.72,123.67
6,湾里区,10595.2,158.96,134.77
7,青云谱区,12934.3,146.16,109.56
8,东湖区,15031.3,162.11,106.34
