area1,"(0, 10000]","(10000, 20000]"
东湖区,5,94
南昌县,1072,3363
新建区,103,509
湾里区,138,82
红谷滩,119,3130
西湖区,7,425
进贤县,380,4
青云谱区,11,102
青山湖区,78,659
