area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
东湖区,30.0,57.0,20.0,8.0
南昌县,917.0,3292.0,159.0,68.0
新建区,122.0,415.0,45.0,19.0
湾里区,126.0,53.0,16.0,16.0
红谷滩,401.0,2286.0,1285.0,436.0
西湖区,54.0,247.0,214.0,31.0
进贤县,353.0,30.0,1.0,0.0
青云谱区,37.0,62.0,12.0,3.0
青山湖区,144.0,511.0,72.0,33.0
