area1,"(0, 10000]","(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]"
仓山区,2.0,200.0,1218.0,440.0,47.0
台江区,0.0,129.0,709.0,332.0,77.0
晋安区,0.0,72.0,538.0,179.0,19.0
连江县,487.0,44.0,1.0,0.0,0.0
闽侯县,29.0,1184.0,675.0,23.0,3.0
马尾区,0.0,159.0,135.0,11.0,3.0
鼓楼区,0.0,15.0,400.0,562.0,239.0
