area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]"
仓山区,67.0,340.0,623.0,454.0,214.0,96.0
台江区,113.0,378.0,297.0,207.0,140.0,54.0
晋安区,27.0,271.0,264.0,159.0,61.0,13.0
连江县,430.0,101.0,0.0,0.0,0.0,0.0
闽侯县,427.0,924.0,373.0,69.0,50.0,22.0
马尾区,44.0,86.0,92.0,28.0,15.0,17.0
鼓楼区,17.0,272.0,441.0,308.0,160.0,67.0
