,室厅厨卫 布局,数量
0,3室2厅1厨1卫,1644
1,2室2厅1厨1卫,1429
2,2室1厅1厨1卫,1335
3,3室2厅1厨2卫,821
4,3室1厅1厨1卫,470
5,4室2厅1厨2卫,275
6,1室1厅1厨1卫,184
7,4室2厅1厨1卫,71
8,5室2厅1厨2卫,52
9,5室3厅1厨2卫,42
