area1,"(0, 10000]","(10000, 20000]","(20000, 30000]"
中山,281,2785,1881
开发区,6441,5507,265
旅顺口,354,363,2
沙河口,537,4624,2115
甘井子,930,11692,2446
西岗,448,1871,1091
金州,6566,1833,48
高新园区,21,1948,1794
