area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
中山,1953,1751,816,521
开发区,8031,3301,612,142
旅顺口,511,184,19,3
沙河口,3111,2476,1149,569
甘井子,5791,7194,1660,467
西岗,1605,1280,439,193
金州,7080,1208,93,34
高新园区,1021,1487,865,331
