,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,涪城区,9594.0,101.32,106.72
1,游仙区,8995.7,103.76,116.06
2,江油市,5263.6,57.59,110.42
3,安州区,7032.0,77.24,112.28
