,室厅厨卫 布局,数量
0,3室2厅1厨2卫,2498
1,2室2厅1厨1卫,2136
2,3室2厅1厨1卫,1039
3,4室2厅1厨2卫,588
4,1室1厅1厨1卫,351
5,2室1厅1厨1卫,309
6,2室2厅1厨2卫,157
7,4室3厅1厨2卫,96
8,3室3厅1厨2卫,70
9,1室0厅1厨1卫,51
